,origin_puma,dest_puma,od_counts
442,17_3108,17_3526,1164
443,17_3108,17_3527,1682
444,17_3108,17_3528,1629
445,17_3108,17_3529,1174
446,17_3108,17_3530,2219
447,17_3108,17_3531,2407
448,17_3108,17_3532,7766
449,17_3108,17_3700,2941
450,17_3202,17_3005,13138
451,17_3202,17_3007,21033
452,17_3202,17_3008,6072
453,17_3202,17_3009,10758
454,17_3202,17_3102,84
455,17_3202,17_3105,554
456,17_3202,17_3106,1469
457,17_3202,17_3107,69
458,17_3202,17_3108,26
459,17_3202,17_3202,10577
460,17_3202,17_3203,4917
461,17_3202,17_3204,3345
462,17_3202,17_3205,9161
463,17_3202,17_3207,20760
464,17_3202,17_3208,22276
465,17_3202,17_3209,11915
466,17_3202,17_3306,822
467,17_3202,17_3307,564
468,17_3202,17_3308,2971
469,17_3202,17_3309,3058
470,17_3202,17_3310,3217
471,17_3202,17_3401,3256
472,17_3202,17_3407,3518
473,17_3202,17_3408,92
474,17_3202,17_3409,1300
475,17_3202,17_3410,270
476,17_3202,17_3411,80
477,17_3202,17_3412,30
478,17_3202,17_3413,20
479,17_3202,17_3414,21
480,17_3202,17_3415,2402
481,17_3202,17_3416,4227
482,17_3202,17_3417,12280
483,17_3202,17_3418,15173
484,17_3202,17_3419,12408
485,17_3202,17_3420,7838
486,17_3202,17_3421,5100
487,17_3202,17_3422,4879
488,17_3202,17_3501,169
489,17_3202,17_3503,345
490,17_3202,17_3504,168
491,17_3202,17_3520,107
492,17_3202,17_3521,102
493,17_3202,17_3523,91
494,17_3202,17_3524,5
495,17_3202,17_3527,48
496,17_3202,17_3530,303
497,17_3202,17_3532,3
498,17_3202,17_3601,375
499,17_3202,17_3602,1620
500,17_3202,17_3700,1566
501,17_3203,17_3005,7164
502,17_3203,17_3007,8568
503,17_3203,17_3008,2392
504,17_3203,17_3009,3190
505,17_3203,17_3102,1958
506,17_3203,17_3105,2799
507,17_3203,17_3106,4179
508,17_3203,17_3107,785
509,17_3203,17_3108,212
510,17_3203,17_3202,16460
511,17_3203,17_3203,8855
512,17_3203,17_3204,5424
