,origin_puma,dest_puma,od_counts,color
554,06_1303,06_1301,10547,yellow
555,06_1303,06_1302,8519,lime
556,06_1303,06_1303,2489,green
557,06_1303,06_1304,1627,green
558,06_1303,06_1305,117,green
559,06_1303,06_1306,1803,green
560,06_1303,06_1307,371,green
561,06_1303,06_1308,311,green
562,06_1303,06_1309,156,green
563,06_1303,06_4101,12,green
564,06_1303,06_4102,25,green
565,06_1303,06_7501,2,green
566,06_1303,06_7502,2,green
567,06_1303,06_7505,21,green
568,06_1303,06_7506,22,green
569,06_1303,06_7507,5,green
570,06_1303,06_8101,82,green
571,06_1303,06_8102,102,green
572,06_1303,06_8103,219,green
573,06_1303,06_8104,224,green
574,06_1303,06_8105,139,green
575,06_1303,06_8106,131,green
576,06_1303,06_8501,116,green
577,06_1303,06_8502,58,green
578,06_1303,06_8503,31,green
579,06_1303,06_8504,101,green
580,06_1303,06_8506,65,green
581,06_1304,06_101,12105,yellow
582,06_1304,06_102,8452,lime
583,06_1304,06_103,5223,lime
584,06_1304,06_104,4035,green
585,06_1304,06_105,2190,green
586,06_1304,06_106,693,green
587,06_1304,06_107,442,green
588,06_1304,06_108,525,green
589,06_1304,06_109,467,green
590,06_1304,06_110,398,green
591,06_1304,06_1301,12834,yellow
592,06_1304,06_1302,11737,yellow
593,06_1304,06_1303,4467,green
594,06_1304,06_1304,5261,lime
595,06_1304,06_1305,495,green
596,06_1304,06_1306,6649,lime
597,06_1304,06_1307,1160,green
598,06_1304,06_1308,395,green
599,06_1304,06_1309,327,green
600,06_1304,06_4101,18,green
601,06_1304,06_4102,131,green
602,06_1304,06_7501,8,green
603,06_1304,06_7502,284,green
604,06_1304,06_7503,497,green
605,06_1304,06_7504,207,green
606,06_1304,06_7505,18,green
607,06_1304,06_7506,35,green
608,06_1304,06_7507,191,green
609,06_1304,06_8101,130,green
610,06_1304,06_8102,167,green
611,06_1304,06_8103,323,green
612,06_1304,06_8104,473,green
613,06_1304,06_8105,350,green
614,06_1304,06_8106,351,green
615,06_1304,06_8501,360,green
616,06_1304,06_8502,333,green
617,06_1304,06_8503,220,green
618,06_1304,06_8504,285,green
619,06_1304,06_8505,69,green
620,06_1304,06_8506,63,green
621,06_1304,06_8507,57,green
622,06_1304,06_8508,24,green
623,06_1304,06_8509,67,green
624,06_1304,06_8510,14,green
625,06_1304,06_8511,7,green
626,06_1304,06_8513,18,green
627,06_1304,06_8514,68,green
628,06_1304,06_8701,8,green
629,06_1305,06_101,5620,lime
630,06_1305,06_102,32629,orange
631,06_1305,06_103,20414,yellow
632,06_1305,06_104,25282,orange
633,06_1305,06_105,17923,yellow
634,06_1305,06_106,5473,lime
635,06_1305,06_107,8273,lime
636,06_1305,06_108,5162,lime
637,06_1305,06_109,1362,green
638,06_1305,06_110,795,green
639,06_1305,06_1301,1867,green
640,06_1305,06_1302,2112,green
641,06_1305,06_1303,3518,green
642,06_1305,06_1304,8277,lime
643,06_1305,06_1305,1945,green
644,06_1305,06_1306,8739,lime
645,06_1305,06_1307,1534,green
646,06_1305,06_1308,1529,green
647,06_1305,06_1309,997,green
648,06_1305,06_4101,12,green
649,06_1305,06_4102,152,green
650,06_1305,06_7501,38,green
651,06_1305,06_7502,476,green
652,06_1305,06_7503,145,green
653,06_1305,06_7504,219,green
654,06_1305,06_7505,85,green
655,06_1305,06_7506,237,green
656,06_1305,06_7507,572,green
657,06_1305,06_8101,1001,green
